Diagnóstico principal (CIE9MC);Urgencia del ingreso y sexo;Total
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Casos urgentes:Mujeres;10,43
740-759 XIV ANOMALÍAS CONGÉNITAS;Total;4,56
740-759 XIV ANOMALÍAS CONGÉNITAS;Casos ordinarios:Ambos sexos;3,59
740-759 XIV ANOMALÍAS CONGÉNITAS;Casos ordinarios:Hombres;3,65
740-759 XIV ANOMALÍAS CONGÉNITAS;Casos ordinarios:Mujeres;3,53
740-759 XIV ANOMALÍAS CONGÉNITAS;Casos urgentes:Ambos sexos;8,55
740-759 XIV ANOMALÍAS CONGÉNITAS;Casos urgentes:Hombres;8,61
740-759 XIV ANOMALÍAS CONGÉNITAS;Casos urgentes:Mujeres;8,48
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Total;8,83
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos ordinarios:Ambos sexos;8,27
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos ordinarios:Hombres;8,04
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos ordinarios:Mujeres;8,54
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos urgentes:Ambos sexos;8,98
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos urgentes:Hombres;8,81
760-779 XV CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos urgentes:Mujeres;9,20
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Total;3,58
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Casos ordinarios:Ambos sexos;3,23
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Casos ordinarios:Hombres;3,33
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Casos ordinarios:Mujeres;3,13
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Casos urgentes:Ambos sexos;3,68
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Casos urgentes:Hombres;3,64
760-763 XV.1 CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;Casos urgentes:Mujeres;3,73
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Total;9,10
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos ordinarios:Ambos sexos;8,54
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos ordinarios:Hombres;8,28
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos ordinarios:Mujeres;8,86
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos urgentes:Ambos sexos;9,24
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos urgentes:Hombres;9,03
764-779 XV.2 OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;Casos urgentes:Mujeres;9,50
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Total;17,10
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Casos ordinarios:Ambos sexos;14,90
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Casos ordinarios:Hombres;14,82
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Casos ordinarios:Mujeres;15,00
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Casos urgentes:Ambos sexos;17,77
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Casos urgentes:Hombres;17,82
764-765 Crecimiento intrauterino retardado, desnutrición fetal, gestación acortada y bajo peso;Casos urgentes:Mujeres;17,72
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Total;4,72
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Casos ordinarios:Ambos sexos;4,37
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Casos ordinarios:Hombres;4,42
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Casos ordinarios:Mujeres;4,30
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Casos urgentes:Ambos sexos;4,81
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Casos urgentes:Hombres;4,87
Resto (764-779) Otras enfermedades con origen en el periodo perinatal;Casos urgentes:Mujeres;4,73
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Total;4,67
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Casos ordinarios:Ambos sexos;3,97
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Casos ordinarios:Hombres;3,74
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Casos ordinarios:Mujeres;4,22
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Casos urgentes:Ambos sexos;4,84
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Casos urgentes:Hombres;4,90
780-799 XVI SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;Casos urgentes:Mujeres;4,78
800-999 XVII LESIONES Y ENVENENAMIENTOS;Total;7,53
800-999 XVII LESIONES Y ENVENENAMIENTOS;Casos ordinarios:Ambos sexos;7,08
800-999 XVII LESIONES Y ENVENENAMIENTOS;Casos ordinarios:Hombres;5,90
800-999 XVII LESIONES Y ENVENENAMIENTOS;Casos ordinarios:Mujeres;8,39
800-999 XVII LESIONES Y ENVENENAMIENTOS;Casos urgentes:Ambos sexos;7,71
800-999 XVII LESIONES Y ENVENENAMIENTOS;Casos urgentes:Hombres;7,47
800-999 XVII LESIONES Y ENVENENAMIENTOS;Casos urgentes:Mujeres;7,95
800-829 XVII.1 FRACTURAS;Total;7,78
800-829 XVII.1 FRACTURAS;Casos ordinarios:Ambos sexos;8,67
800-829 XVII.1 FRACTURAS;Casos ordinarios:Hombres;6,46
800-829 XVII.1 FRACTURAS;Casos ordinarios:Mujeres;10,57
800-829 XVII.1 FRACTURAS;Casos urgentes:Ambos sexos;7,51
800-829 XVII.1 FRACTURAS;Casos urgentes:Hombres;7,15
800-829 XVII.1 FRACTURAS;Casos urgentes:Mujeres;7,78
800-804 Fractura de cráneo;Total;6,84
800-804 Fractura de cráneo;Casos ordinarios:Ambos sexos;4,20
800-804 Fractura de cráneo;Casos ordinarios:Hombres;3,99
800-804 Fractura de cráneo;Casos ordinarios:Mujeres;4,84
800-804 Fractura de cráneo;Casos urgentes:Ambos sexos;7,34
800-804 Fractura de cráneo;Casos urgentes:Hombres;7,48
800-804 Fractura de cráneo;Casos urgentes:Mujeres;6,99
805-809 Fracturas de cuello y tronco;Total;9,65
805-809 Fracturas de cuello y tronco;Casos ordinarios:Ambos sexos;16,80
805-809 Fracturas de cuello y tronco;Casos ordinarios:Hombres;16,84
805-809 Fracturas de cuello y tronco;Casos ordinarios:Mujeres;16,78
805-809 Fracturas de cuello y tronco;Casos urgentes:Ambos sexos;8,23
805-809 Fracturas de cuello y tronco;Casos urgentes:Hombres;9,00
805-809 Fracturas de cuello y tronco;Casos urgentes:Mujeres;7,46
813 Fractura de radio y cúbito;Total;2,69
813 Fractura de radio y cúbito;Casos ordinarios:Ambos sexos;2,07
813 Fractura de radio y cúbito;Casos ordinarios:Hombres;2,08
813 Fractura de radio y cúbito;Casos ordinarios:Mujeres;2,05
813 Fractura de radio y cúbito;Casos urgentes:Ambos sexos;3,11
813 Fractura de radio y cúbito;Casos urgentes:Hombres;3,07
813 Fractura de radio y cúbito;Casos urgentes:Mujeres;3,14
810-812,814-819 Otras fracturas de miembro superior;Total;4,01
810-812,814-819 Otras fracturas de miembro superior;Casos ordinarios:Ambos sexos;3,18
810-812,814-819 Otras fracturas de miembro superior;Casos ordinarios:Hombres;2,38
810-812,814-819 Otras fracturas de miembro superior;Casos ordinarios:Mujeres;4,18
810-812,814-819 Otras fracturas de miembro superior;Casos urgentes:Ambos sexos;4,51
810-812,814-819 Otras fracturas de miembro superior;Casos urgentes:Hombres;3,93
810-812,814-819 Otras fracturas de miembro superior;Casos urgentes:Mujeres;5,13
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Total;11,88
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Casos ordinarios:Ambos sexos;23,21
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Casos ordinarios:Hombres;21,39
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Casos ordinarios:Mujeres;23,96
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Casos urgentes:Ambos sexos;10,18
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Casos urgentes:Hombres;10,41
820-821 Fracturas del cuello de fémur, de otras partes y de partes no especificadas;Casos urgentes:Mujeres;10,08
823-824 Fractura de tibia y peroné, fractura de tobillo;Total;5,62
823-824 Fractura de tibia y peroné, fractura de tobillo;Casos ordinarios:Ambos sexos;5,15
823-824 Fractura de tibia y peroné, fractura de tobillo;Casos ordinarios:Hombres;4,48
823-824 Fractura de tibia y peroné, fractura de tobillo;Casos ordinarios:Mujeres;5,89
823-824 Fractura de tibia y peroné, fractura de tobillo;Casos urgentes:Ambos sexos;5,73
823-824 Fractura de tibia y peroné, fractura de tobillo;Casos urgentes:Hombres;5,97
823-824 Fractura de tibia y peroné, fractura de tobillo;Casos urgentes:Mujeres;5,51
822,825-829 Otras fracturas de miembro inferior;Total;5,23
822,825-829 Otras fracturas de miembro inferior;Casos ordinarios:Ambos sexos;4,74
822,825-829 Otras fracturas de miembro inferior;Casos ordinarios:Hombres;4,16
822,825-829 Otras fracturas de miembro inferior;Casos ordinarios:Mujeres;5,52
822,825-829 Otras fracturas de miembro inferior;Casos urgentes:Ambos sexos;5,48
822,825-829 Otras fracturas de miembro inferior;Casos urgentes:Hombres;5,85
822,825-829 Otras fracturas de miembro inferior;Casos urgentes:Mujeres;5,01
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Total;2,17
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Casos ordinarios:Ambos sexos;1,76
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Casos ordinarios:Hombres;1,61
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Casos ordinarios:Mujeres;2,12
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Casos urgentes:Ambos sexos;3,22
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Casos urgentes:Hombres;3,22
830-848 XVII.2 LUXACIONES, ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MÚSCULOS ADYACENTES;Casos urgentes:Mujeres;3,21
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Total;7,71
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Casos ordinarios:Ambos sexos;11,85
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Casos ordinarios:Hombres;11,41
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Casos ordinarios:Mujeres;12,49
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Casos urgentes:Ambos sexos;7,16
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Casos urgentes:Hombres;7,41
850-854,860-869,950-959 XVII.3 LESIONES INTRACRANEALES E INTERNAS DE TÓRAX, ABDOMEN, PELVIS, NERVIOS, MÉDULA ESPINAL Y NO ESPECIFICADAS;Casos urgentes:Mujeres;6,80
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Total;4,46
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Casos ordinarios:Ambos sexos;5,89
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Casos ordinarios:Hombres;5,83
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Casos ordinarios:Mujeres;6,07
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Casos urgentes:Ambos sexos;4,19
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Casos urgentes:Hombres;4,07
870-904 XVII.4 HERIDAS ABIERTAS DE CABEZA, CUELLO, TRONCO, MIEMBROS SUPERIORES, MIEMBROS INFERIORES Y LESIÓN DE VASOS SANGUÍNEOS;Casos urgentes:Mujeres;4,53
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Total;5,34
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Casos ordinarios:Ambos sexos;5,83
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Casos ordinarios:Hombres;4,88
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Casos ordinarios:Mujeres;7,17
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Casos urgentes:Ambos sexos;5,23
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Casos urgentes:Hombres;4,81
905-939 XVII.5 EFECTOS TARDÍOS, LESIONES SUPERFICIALES, CONTUSIONES, APLASTAMIENTOS Y EFECTOS POR CUERPOS EXTRAÑOS;Casos urgentes:Mujeres;5,69
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Total;5,34
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Casos ordinarios:Ambos sexos;4,59
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Casos ordinarios:Hombres;4,21
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Casos ordinarios:Mujeres;5,19
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Casos urgentes:Ambos sexos;8,32
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Casos urgentes:Hombres;8,35
905-909 Efectos tardíos de lesiones, envenenamientos, efectos tóxicos y otras causas externas;Casos urgentes:Mujeres;8,28
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Total;5,34
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Casos ordinarios:Ambos sexos;6,43
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Casos ordinarios:Hombres;5,22
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Casos ordinarios:Mujeres;8,04
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Casos urgentes:Ambos sexos;5,17
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Casos urgentes:Hombres;4,73
Resto (905-939) Otros efectos tardíos, lesiones superficiales, contusiones, aplastamientos y efectos por cuerpos extraños;Casos urgentes:Mujeres;5,65
940-949 XVII.6 QUEMADURAS;Total;11,11
940-949 XVII.6 QUEMADURAS;Casos ordinarios:Ambos sexos;7,82
940-949 XVII.6 QUEMADURAS;Casos ordinarios:Hombres;8,06
940-949 XVII.6 QUEMADURAS;Casos ordinarios:Mujeres;7,46
940-949 XVII.6 QUEMADURAS;Casos urgentes:Ambos sexos;11,98
940-949 XVII.6 QUEMADURAS;Casos urgentes:Hombres;11,50
940-949 XVII.6 QUEMADURAS;Casos urgentes:Mujeres;12,79
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Total;6,25
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Casos ordinarios:Ambos sexos;8,24
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Casos ordinarios:Hombres;7,57
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Casos ordinarios:Mujeres;8,86
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Casos urgentes:Ambos sexos;6,17
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Casos urgentes:Hombres;6,29
960-989 XVII.7 ENVENENAMIENTOS Y EFECTOS TÓXICOS;Casos urgentes:Mujeres;6,08
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Total;6,26
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Casos ordinarios:Ambos sexos;8,46
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Casos ordinarios:Hombres;7,40
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Casos ordinarios:Mujeres;9,34
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Casos urgentes:Ambos sexos;6,18
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Casos urgentes:Hombres;6,32
960-979 Envenenamiento por drogas, sustancias medicamentosas y sustancias biológicas;Casos urgentes:Mujeres;6,09
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Total;6,19
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Casos ordinarios:Ambos sexos;7,49
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Casos ordinarios:Hombres;8,01
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Casos ordinarios:Mujeres;6,80
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Casos urgentes:Ambos sexos;6,12
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Casos urgentes:Hombres;6,19
980-989 Efectos tóxicos de sustancias primordialmente no medicamentosas con respecto a su origen;Casos urgentes:Mujeres;6,03
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Total;5,94
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Casos ordinarios:Ambos sexos;6,31
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Casos ordinarios:Hombres;6,28
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Casos ordinarios:Mujeres;6,35
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Casos urgentes:Ambos sexos;5,86
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Casos urgentes:Hombres;5,90
990-995 XVII.8 OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;Casos urgentes:Mujeres;5,82
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Total;9,05
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Casos ordinarios:Ambos sexos;7,19
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Casos ordinarios:Hombres;7,11
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Casos ordinarios:Mujeres;7,27
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Casos urgentes:Ambos sexos;10,42
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Casos urgentes:Hombres;10,22
996-999 XVII.9 COMPLICACIONES DE CUIDADOS QUIRÚRGICOS Y MÉDICOS NO CLASIFICADOS EN OTROS CONCEPTOS;Casos urgentes:Mujeres;10,67
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Total;7,84
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Casos ordinarios:Ambos sexos;7,91
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Casos ordinarios:Hombres;8,27
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Casos ordinarios:Mujeres;7,58
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Casos urgentes:Ambos sexos;7,55
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Casos urgentes:Hombres;6,84
Códigos V (SÓLO DIAGNÓSTICOS PRINCIPALES) CLASIFICACIÓN SUPLEMENTARIA DE FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD;Casos urgentes:Mujeres;8,30
ALTAS SIN DIAGNÓSTICO;Total;7,73
ALTAS SIN DIAGNÓSTICO;Casos ordinarios:Ambos sexos;6,55
ALTAS SIN DIAGNÓSTICO;Casos ordinarios:Hombres;7,02
ALTAS SIN DIAGNÓSTICO;Casos ordinarios:Mujeres;6,06
ALTAS SIN DIAGNÓSTICO;Casos urgentes:Ambos sexos;8,60
ALTAS SIN DIAGNÓSTICO;Casos urgentes:Hombres;9,16
ALTAS SIN DIAGNÓSTICO;Casos urgentes:Mujeres;8,01
